Job_ID,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,District Cooling [kWh],c1: Interior Lighting[kWh],c2: Total Energy [kWh],c4: Annual Total Peak Values[kWh],c5: Annual and Peak Values-Cooling[kWh],c7: Not Comfortable[Hours]
case_43,0.677839231,0.504550154,0.918121008,3.048438386,0.321388973,0.412151165,0.291279506,0.250203729,0.220465405,0.212745956,0.399729078,0.224528861,472983.6038,89631.26221,1036992.63,564158.7706,472983.984,3247.17
case_44,0.783250507,1.425819536,1.099525187,3.936228862,0.339848308,0.270475576,0.221868941,0.318077446,0.204979424,0.227199483,0.364152351,0.325160583,489935.3606,102349.6492,1066657.41,576877.1575,489935.7514,3299.5
case_45,0.646233319,1.356891886,1.060462294,3.577722993,0.345982706,0.351002185,0.21008108,0.377969589,0.283176067,0.289997425,0.347592947,0.248904028,488063.5584,93011.08461,1055447.64,567538.593,488063.9491,3287.67
case_46,0.570383306,0.512633542,1.179599479,3.053751307,0.231639427,0.263404588,0.273931381,0.370084487,0.289527141,0.266275616,0.2166014,0.252261346,464826.9965,114386.2761,1053593.6,588913.7844,464827.3766,3233.17
case_47,0.869839277,0.623629068,0.757312979,3.777861903,0.280658112,0.760382446,0.20894024,0.345205988,0.233224945,0.272846204,0.39993221,0.35115852,477261.7027,69002.81769,1020640.92,543530.2944,477262.0829,3293.17
case_48,0.82400718,0.639267197,1.349293413,3.870499235,0.207683257,0.312975473,0.229581104,0.297834749,0.224305937,0.221786904,0.308365856,0.27923235,455636.7235,100490.0185,1030509.99,575017.5585,455637.0931,3292.5
case_49,0.678785174,1.432678864,1.219538602,3.678947612,0.277928916,0.356861258,0.38636891,0.286819996,0.26699545,0.238714526,0.289357558,0.352095353,489101.1312,92373.09246,1055846.91,566900.6325,489101.5219,3302
case_50,0.967324149,1.247812055,1.279628555,3.360459096,0.36119592,0.781753601,0.23191548,0.332822715,0.217428019,0.210608331,0.234928351,0.339076365,472002.4426,73974.05759,1020354.57,548501.5659,472002.8227,3311.83
case_51,0.807250042,0.534219706,0.888245249,3.472034917,0.335441028,0.461149907,0.30219504,0.316554,0.264187075,0.292834903,0.389587153,0.254759999,486270.8189,83220.71582,1043865.11,557748.2242,486271.2096,3273.83
case_52,0.971192468,0.906366582,1.009401424,3.747282018,0.32458834,0.583661442,0.269793003,0.264316508,0.265700802,0.230829056,0.251912669,0.261478686,471203.7898,81399.15243,1026981.28,555926.6608,471204.1699,3296
case_53,0.682579718,1.235984718,1.322610965,3.393257362,0.343643268,0.771975581,0.355551605,0.387368705,0.227988909,0.235395385,0.230533526,0.245937733,476449.6282,76657.83673,1027484.15,551185.3451,476450.0083,3298.5
case_54,0.670037939,0.696811364,0.528090197,3.042599931,0.340670027,0.680955517,0.311640583,0.329087532,0.255306488,0.235845439,0.346911896,0.256967538,490706.9482,75362.50206,1040441.63,549890.0104,490707.3389,3257.83
case_55,0.673888206,1.252675981,0.639487231,3.312156781,0.385300557,0.622697088,0.286302646,0.350561995,0.248942812,0.240529175,0.319414909,0.274777767,496819.4563,77811.82819,1049001.52,552339.3365,496819.8576,3280.33
case_56,0.915745244,1.308513371,1.443825567,3.504602659,0.227538091,0.406362233,0.277755685,0.326589935,0.292818916,0.232518814,0.336680162,0.243135616,470703.9005,89731.71945,1034814.1,564259.2278,470704.2806,3313.83
case_57,0.592477639,1.008682706,0.930231833,3.343106804,0.272829568,0.346869706,0.241614199,0.365492419,0.280074237,0.215373603,0.223553084,0.320023701,475369.8259,99014.86152,1048761.69,573542.3699,475370.2061,3257.83
case_58,0.814889776,1.08160351,1.12419011,3.378330966,0.265709432,0.688770825,0.343512908,0.301123361,0.254054445,0.233363015,0.216908811,0.335317483,469919.6726,76861.12646,1021159.54,551388.6348,469920.0528,3298
case_59,0.841444558,1.339330198,0.731645101,3.955919255,0.334815456,0.57410933,0.299135296,0.282240754,0.288487072,0.269058995,0.219788212,0.297562354,491382.0701,80561.73429,1046315.75,555089.2426,491382.4608,3294.33
case_60,0.754662855,0.760729899,0.816643377,3.221518917,0.229480301,0.654377995,0.206993264,0.231784067,0.208711465,0.296873357,0.317631609,0.237204052,456345.2256,77224.98309,1007953.22,551752.4914,456345.5846,3276.5
case_61,0.819946294,0.945429927,0.640402723,3.158991894,0.274869336,0.460113061,0.262213298,0.201227684,0.251692762,0.225626569,0.363579312,0.238742864,475526.2618,85907.21858,1035810.45,560434.7269,475526.6419,3273
case_62,0.904733363,0.636621351,1.419159011,3.716421281,0.237992313,0.234154404,0.337337694,0.393086975,0.256603323,0.245737687,0.285375114,0.214936466,476025.2957,119485.5894,1069887.69,594013.1295,476025.6758,3286.17
case_63,0.920567687,0.887809792,1.432280002,3.433459262,0.205314562,0.713298578,0.365902763,0.372120474,0.275305254,0.27069334,0.35617311,0.22436717,470484.337,74070.68276,1018933.57,548598.1911,470484.7066,3316.17
case_64,0.809050945,0.956427735,0.909601178,3.699945022,0.38011336,0.409430127,0.277707593,0.286546662,0.217327865,0.228509878,0.254273527,0.30566959,482679.5846,91933.38618,1048987.69,566460.9262,482679.9754,3280.5
case_65,0.871557332,0.927729683,0.572960232,3.624152914,0.388466971,0.61516525,0.244531182,0.221837916,0.274502553,0.28817636,0.307669998,0.329138172,489711.2458,75640.56466,1039724.3,550168.073,489711.6365,3291.5
case_66,0.903016809,1.133469986,1.303343367,3.862469831,0.338477984,0.768622709,0.251454115,0.200964917,0.283272013,0.298849682,0.214205988,0.302000508,467498.8982,73147.78729,1015026.19,547675.2956,467499.2784,3312.5
case_67,0.579548753,0.573095507,0.896081799,3.79713245,0.263209904,0.578713485,0.263870036,0.254520155,0.256982153,0.237552264,0.307348597,0.291504549,461247.1354,78756.3226,1014384.93,553283.8309,461247.505,3264.17
case_68,0.838652496,1.494608389,1.408763179,3.211109124,0.261286635,0.496655568,0.309889663,0.210690296,0.288538099,0.239772302,0.256250954,0.342465906,468523.9046,83261.44344,1026164.53,557788.9518,468524.2848,3312
case_69,0.560751121,1.229353046,1.258683415,3.818221919,0.304528343,0.774144801,0.278391573,0.32266983,0.202913836,0.294085437,0.215376827,0.216949543,467059.6445,76915.25049,1018354.54,551442.7588,467060.0141,3291.5
case_70,0.794018507,0.532239848,0.894307431,3.972425492,0.331112812,0.382825894,0.235003685,0.297372431,0.273187528,0.207878496,0.390137766,0.299885378,476883.3485,87795.95404,1039055.83,562323.4624,476883.7392,3276.83
case_71,0.538537471,0.806329825,0.656142781,3.169820353,0.313128665,0.470857749,0.367901679,0.358576957,0.243634587,0.221978614,0.218884915,0.259542563,484159.0406,91045.26437,1049578.53,565572.7727,484159.4208,3233.5
