#,case,Z1,Z2,Z3,Z4,Z5,Z6,Z7,Z8,Z9,Z10,Z11,Z12,Z13,Z14,Z15,Z16,Z17,Z18,Z19,Z20,Z21,Z22,Z23,Z24,Z25,Z26,Z27,Z28,Z29,Z30,Z31,Cooling,Lighting,Equipment,fadian
6292,6293,270,0.179116891,0.195078635,0.699466162,0.436268871,0.751477954,0.547531172,0.537543612,0.69302059,0.414218805,0.561151098,0.729637527,0.616375134,0.765134478,0.557109694,1.161691149,0.458434708,1.135725971,0.384474779,0.224612345,2.949985296,0.555723074,10.64529235,0.822905286,5.430531107,0.830422191,14.44667776,0.76627447,23.55868036,21.27325474,17,53507.35662,6459.3618,45350.47569,65671.10916
6293,6294,240,0.14570148,0.198519553,0.477043962,0.735113469,0.63003754,0.388609862,0.540404609,0.495428372,0.369590765,0.457329297,0.712652778,0.777227748,0.75470254,0.745507594,1.03945025,0.68073103,1.146266157,0.420054638,0.288957051,1.750859051,0.43316493,14.62124079,0.921202159,7.937279543,0.8573025,11.24038508,0.761369254,25.44848271,28.69221954,18,50945.53289,13728.99363,38565.47748,65803.12887
6294,6295,310,0.161050621,0.137533254,0.685184494,0.640807948,0.493777399,0.41500373,0.4293837,0.362809723,0.433810425,0.396907455,0.707293931,0.852698267,0.890289139,0.781183736,1.023577154,0.752261207,0.691814604,0.477560052,0.340126842,1.339819294,0.722141263,15.37117102,0.822410592,5.883491615,0.805571225,14.6806815,0.870102912,23.46443595,27.4428119,19,63637.59099,9574.90989,62795.36325,56391.06498
6295,6296,200,0.14639528,0.16971114,0.693500186,0.780546599,0.519572785,0.654647367,0.460979931,0.544549941,0.673835021,0.434057569,0.75884632,0.740421016,0.643463332,0.599778496,0.48673293,0.679503863,0.869451549,0.277817711,0.297143765,1.384880416,0.493593906,10.81174488,0.754796714,6.21068673,0.904390191,13.07081586,0.839029755,25.37388051,24.57541225,17,50305.63095,8575.28397,44927.21997,55829.0697
6296,6297,100,0.118344006,0.142516451,0.623178869,0.784878266,0.655184064,0.722094421,0.428093576,0.385621702,0.437221942,0.527823409,0.903174793,0.682486364,0.715060931,0.687291222,0.799219894,0.443428112,1.037618662,0.295745891,0.36667279,1.815640827,0.641980251,14.67298229,0.906110775,5.957383979,0.87139718,12.54523151,0.966884416,24.9671245,26.6453492,19,58946.70405,10180.24902,59629.88553,53717.86287
6297,6298,20,0.140020116,0.17289657,0.667089829,0.397039944,0.73909584,0.3761541,0.454347445,0.393166571,0.558844526,0.513938257,0.742702053,0.948777866,0.91265361,0.928549267,0.800188398,0.483528622,0.490006623,0.369186188,0.371335791,1.877303406,0.49771968,11.84839701,0.760125253,5.68202971,0.907921219,13.90340506,0.758903681,24.20451187,25.3942944,18,59111.52949,9056.38926,47547.75546,64407.38169
6298,6299,190,0.156989085,0.13534893,0.858364369,0.537402003,0.530336071,0.691723052,0.42221219,0.503528217,0.616455961,0.447869955,0.65081418,0.850762434,0.708456083,0.660352214,0.433632939,0.734965195,0.650610307,0.441582316,0.230644883,1.355373671,0.76770064,12.59897139,0.749441554,5.624226946,0.949194026,12.78298182,0.741160613,24.04828029,24.73075015,18,52874.46229,7675.42248,42693.98328,52126.78878
6299,6300,80,0.135750072,0.147713648,0.615808379,0.435780227,0.326963512,0.871451113,0.316418622,0.372471015,0.513035934,0.367652577,0.605648327,0.642007786,0.53255803,0.725880686,0.980894121,0.647042496,0.490661521,0.180552664,0.168084662,2.875743602,0.719258859,13.65192546,0.796226382,7.126167279,0.752379612,12.52312668,0.870787011,23.24909332,24.44612151,18,51119.96559,8666.60526,49141.32783,46118.53983
6300,6301,0,0.161004482,0.183167539,0.761518744,0.722661466,0.756540204,0.380512672,0.515423156,0.310166717,0.435082934,0.523275669,0.92128069,0.552648331,0.690042077,0.951640218,1.056097723,0.763759226,0.414965369,0.272674448,0.259673556,1.03900283,0.599991595,15.17216757,0.940185315,6.034151287,0.895020268,12.37634229,0.755892226,25.44439697,28.81678114,17,43921.49768,8257.46286,38324.95917,63348.93501
6301,6302,170,0.141958935,0.158411298,0.798677529,0.740440622,0.863084274,0.76662191,0.387053722,0.462420387,0.386442689,0.489229995,0.713017494,0.91752064,0.700832017,0.865337498,1.09329685,0.784543142,1.052429005,0.279049429,0.21878581,2.679652059,0.650451999,11.76899538,0.882709638,7.997288917,0.791866554,13.62068018,0.790169565,25.25993473,26.38935327,18,51768.68563,10635.45918,48499.94676,62832.08862
