#,Job_ID,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,District Cooling [kWh],c1: Interior Lighting[kWh],c2: Total Energy [kWh],c4: Annual Total Peak Values[kWh],c5: Annual and Peak Values-Cooling [kWh],c7: Not Comfortable[Hours]
290,case_291,0.835012056,0.968721634,1.257554118,3.118360103,0.366745432,0.768924107,0.396275582,0.383742625,0.259032762,0.296841619,0.316251437,0.333539775,498431.7571,70821.34076,1043622.82,545348.8174,498432.1584,3307
291,case_292,0.567265537,1.022246216,0.826839676,3.559033356,0.233302361,0.789122031,0.232921765,0.307176791,0.208930336,0.219304707,0.225044447,0.21992276,456834.6077,77485.15214,1008702.64,552012.6605,456834.9773,3269
292,case_293,0.552595599,0.623606669,1.02336183,3.537734889,0.287095131,0.526530374,0.34879347,0.314272581,0.218204586,0.200914711,0.315816512,0.389917037,475372.4131,80078.38675,1029827.81,554605.8951,475372.7933,3265.5
293,case_294,0.913514996,0.552252372,1.184882211,3.468178115,0.367942854,0.540227027,0.291358006,0.363642576,0.207479545,0.296443871,0.295718682,0.296522108,479899.0733,81280.86498,1035555.51,555808.3733,479899.4534,3290
294,case_295,0.606590593,1.29756977,1.172425177,3.632282423,0.25264912,0.715371451,0.246766056,0.297530581,0.230935966,0.241499888,0.281055468,0.225863202,462345.3331,76790.53403,1013516.98,551318.0424,462345.7027,3294.83
295,case_296,0.732116405,0.85584505,1.344693469,3.811495663,0.330401415,0.636803857,0.338482515,0.275627211,0.262199905,0.207742671,0.250732869,0.222935558,465530.1763,80896.04281,1020806.32,555423.5512,465530.5459,3294.5
296,case_297,0.735119815,1.4643225,0.542061338,3.014793172,0.342151316,0.511355266,0.231358137,0.210100474,0.205645324,0.267076725,0.357421016,0.376623042,490551.0614,79285.94001,1044209.22,553813.4484,490551.4522,3288
297,case_298,0.910397293,0.931162701,1.281862463,3.323723012,0.34537023,0.567257473,0.276323176,0.252623636,0.24738785,0.258195382,0.317407131,0.384069309,473740.6397,77165.50683,1025283.67,551693.0152,473741.0198,3309
298,case_299,0.698901699,0.529143188,0.821450937,3.590598899,0.378375118,0.711132517,0.322851779,0.295191551,0.206430436,0.204605265,0.371947181,0.200405459,478042.4352,76098.5762,1028517.2,550626.0845,478042.8154,3260.33
299,case_300,0.972455602,1.266411703,0.539294183,3.633807389,0.288506822,0.667493817,0.231294683,0.2292863,0.287363678,0.252388885,0.252351252,0.359646633,481643.6592,74738.82475,1030757.5,549266.3331,481644.0394,3302.33
300,case_301,0.806012976,0.587485611,1.420711374,3.813848993,0.245016461,0.5086421,0.393852733,0.303578262,0.238457979,0.219676244,0.374975776,0.251798604,473884.9949,81949.54536,1030212.03,556477.0537,473885.375,3304.83
301,case_302,0.510108849,1.035519054,1.490617158,3.82700952,0.223669461,0.651086556,0.218304053,0.254242613,0.23696878,0.232027862,0.297983803,0.329244596,448696.6176,75426.82383,998508.88,549954.3322,448696.9766,3301.67
302,case_303,0.740290074,0.699763486,1.129673063,3.883262081,0.223811649,0.344891753,0.353880038,0.263454811,0.222612484,0.22042344,0.339483705,0.254911877,472483.6512,96116.61314,1042978.18,570644.1215,472484.0314,3279.17
303,case_304,0.838138739,1.336041341,1.255076721,3.079422355,0.207033841,0.277994059,0.341819482,0.328760668,0.27728619,0.285400037,0.284011512,0.372840212,486068.9328,101213.8046,1061656.36,575741.313,486069.3235,3302.5
304,case_305,0.931565886,0.970237323,0.697503364,3.376283285,0.316328945,0.629012483,0.28176762,0.358918594,0.204254641,0.270378054,0.301088528,0.260396296,486166.1482,78700.74175,1039240.49,553228.2501,486166.5283,3285.5
305,case_306,0.55653244,1.248547816,0.796650806,3.864230328,0.27042173,0.78223839,0.340394847,0.320694749,0.243635552,0.218418883,0.290378517,0.238229736,481436.9578,73935.07182,1029747.14,548462.5802,481437.3485,3283.17
306,case_307,0.891558929,1.49353173,0.598641517,3.830284221,0.260863334,0.738648623,0.319432039,0.374858427,0.280440183,0.298601917,0.280553282,0.388440521,504687.6067,70553.06419,1049608.42,545080.5725,504688.008,3315.67
307,case_308,0.647831006,1.404545001,0.983220978,3.261516155,0.393794986,0.705336762,0.205225619,0.311149088,0.296466457,0.247500922,0.31242322,0.384516161,486196.2547,71842.7616,1032412.62,546370.2699,486196.6454,3294.67
308,case_309,0.832081692,0.525032868,0.918052662,3.139036254,0.347301514,0.463111995,0.333908057,0.332564993,0.219195261,0.295294556,0.332182004,0.29364531,489273.5338,84501.64064,1048147.8,559029.149,489273.9245,3266
309,case_310,0.682392239,0.957527701,1.066228237,3.738655829,0.214890167,0.72118675,0.365636158,0.256540484,0.240089035,0.24282944,0.230410192,0.368246514,464808.1997,73973.58254,1013162.12,548501.0909,464808.5693,3293
310,case_311,0.727068848,1.486063579,0.889552767,3.609887414,0.33661621,0.769714064,0.243817048,0.395498043,0.288138891,0.227167471,0.395817943,0.347639532,495496.3834,69072.20666,1038939.26,543599.715,495496.7741,3307.33
311,case_312,0.960354189,1.44395154,0.742805588,3.150530316,0.368367373,0.70677729,0.209256014,0.234767326,0.275764137,0.269571153,0.209546499,0.387115729,484760.1792,74231.18632,1033365.42,548758.6947,484760.5699,3301.67
312,case_313,0.782830691,0.682073071,1.005186812,3.839908743,0.278949236,0.356626411,0.397315743,0.270036893,0.212084204,0.260735687,0.302862954,0.297645866,484423.5475,94086.75616,1052884.44,568614.2645,484423.9277,3276.17
313,case_314,0.706171208,0.938337433,0.97503644,3.547128388,0.214654802,0.716576987,0.244042978,0.326382742,0.204462202,0.212805794,0.302320664,0.269099929,459980.8435,75751.97972,1010114.67,550279.4564,459981.2026,3286.67
314,case_315,0.5512511,0.783560549,1.299775158,3.070125435,0.265852548,0.344052241,0.384537191,0.271692599,0.224898743,0.282144435,0.299252958,0.276283392,474903.8342,96696.4275,1045977.44,571223.9675,474904.2144,3265.67
315,case_316,0.648749957,0.560035031,1.475666251,3.384672975,0.360428092,0.615639269,0.324261449,0.20134671,0.259963969,0.210566817,0.355681985,0.297353237,461230.0493,76754.43023,1012365.95,551281.9386,461230.4189,3293.83
316,case_317,0.797883858,1.207415838,1.191433788,3.618618567,0.388406375,0.233394893,0.29677194,0.343270796,0.241159497,0.295124876,0.256849657,0.305739273,499984.4362,114790.5436,1089144.24,589318.0836,499984.8374,3288
317,case_318,0.750915715,1.029287235,0.563785146,3.144195431,0.244350126,0.484494253,0.203798098,0.293675848,0.263955879,0.227024622,0.234441281,0.285988559,471737.5766,87423.19814,1033538.94,561950.7065,471737.9462,3266.83
318,case_319,0.866339752,0.789859932,1.249209271,3.188681264,0.264870092,0.663119179,0.233288443,0.207570118,0.222991327,0.225446088,0.338605158,0.270258176,452100.0422,76241.12287,1002725.52,550768.6312,452100.4013,3300.5
319,case_320,0.543699431,1.048497725,1.401949492,3.574916038,0.302710229,0.404040041,0.281912463,0.390932637,0.290407794,0.280094849,0.211104227,0.355348442,477641.3558,90179.0582,1042196.69,564706.5665,477641.736,3286.17
320,case_321,0.620446841,1.412440127,1.188832391,3.892480709,0.220560755,0.204972548,0.304044465,0.254459544,0.299800864,0.281648218,0.3366886,0.223551239,484868.3664,119057.6011,1078299.97,593585.1411,484868.7571,3290
321,case_322,0.777797905,1.186271073,0.5448367,3.407206834,0.312292291,0.203994064,0.295538174,0.201867821,0.268005773,0.207804315,0.362125144,0.375456831,498635.3962,115363.0105,1088368.08,589890.5505,498635.7974,3279.5
322,case_323,0.589630187,0.76311927,1.239716103,3.336448275,0.340617827,0.514299807,0.26826678,0.341057203,0.255381391,0.263358505,0.387425447,0.281720659,475676.615,80179.54073,1030233.06,554707.0491,475676.9952,3285.5
323,case_324,0.676747977,1.094736768,1.223940969,3.771937737,0.384523929,0.797669812,0.236946209,0.248049205,0.23901716,0.297170895,0.351227377,0.323566051,477297.3533,69164.46137,1020838.21,543691.9697,477297.7334,3304.5
324,case_325,0.674739676,0.851660919,1.00806638,3.263701582,0.314654487,0.326218157,0.291138405,0.364724322,0.239491658,0.268653708,0.377163006,0.351132942,491727.5722,92855.23654,1058954.65,567382.7449,491727.9629,3274.83
325,case_326,0.591557783,1.336997188,0.588741931,3.364545717,0.337557094,0.627519906,0.390729085,0.373590034,0.213669832,0.259024122,0.347325972,0.231834704,505931.6275,78282.34938,1058581.34,552809.8577,505932.0394,3280.67
326,case_327,0.888641878,0.520251189,1.220744013,3.665274284,0.2072237,0.342168311,0.247124388,0.282938432,0.234117392,0.243280738,0.267735768,0.341679114,456043.5264,95803.04847,1026229.68,570330.5568,456043.8854,3288.5
327,case_328,0.749245187,0.991575834,1.479147487,3.266999178,0.353572566,0.503196012,0.25972348,0.32648318,0.259353614,0.221213185,0.344973891,0.226342934,469190.5891,84363.43276,1027933,558890.9411,469190.9693,3300.83
328,case_329,0.943769303,0.972749436,0.834653837,3.903501936,0.374020604,0.281194903,0.243549636,0.295791709,0.280811175,0.274810822,0.28799188,0.33680327,496934.423,100766.2759,1072070.91,575293.8159,496934.8243,3286.17
329,case_330,0.849066965,0.832286372,0.880739299,3.301407438,0.362377684,0.227920612,0.22802657,0.31220457,0.223136724,0.242244898,0.398437557,0.351536897,492086.5382,108332.9356,1074791.21,582860.4756,492086.929,3274.67
